# BlockSize maxrss blowup maxlivedatasize
32 167772160 1.25 134217728
64 318767104 1.58 201326592
128 461373440 1.96 234881024
256 599785472 2.38 251658240
512 736100352 2.83 260046848
1024 871366656 3.30 264241152
2048 1006108672 3.78 266338304
4096 1140588544 4.27 267386880
8192 1274675200 4.76 267911168
16384 1375211520 5.13 268173312
32768 1442045952 5.37 268304384
65536 1483841536 5.53 268369920
131072 1508995072 5.62 268402688
262144 1523621888 5.68 268419072
524288 1532022784 5.71 268427264
1048576 1536626688 5.72 268431360
2097152 1539362816 5.73 268433408
4194304 1540685824 5.74 268434432
8388608 1541537792 5.74 268434944
16777216 1541943296 5.74 268435200
33554432 1542209536 5.75 268435328
67108864 1542299648 5.75 268435392
134217728 1542352896 5.75 268435424
