# BlockSize maxrss blowup maxlivedatasize
32 134873088 1.00 134217728
64 269877248 1.34 201326592
128 404750336 1.72 234881024
256 539623424 2.14 251658240
512 674496512 2.59 260046848
1024 809369600 3.06 264241152
2048 944242688 3.55 266338304
4096 1079115776 4.04 267386880
8192 1213726720 4.53 267911168
16384 1348206592 5.03 268173312
32768 1482555392 5.53 268304384
65536 1616904192 6.02 268369920
131072 1751252992 6.52 268402688
262144 1885601792 7.02 268419072
524288 2019950592 7.53 268427264
1048576 2154299392 8.03 268431360
2097152 2288648192 8.53 268433408
4194304 2422996992 9.03 268434432
8388608 2557345792 9.53 268434944
16777216 2691694592 10.03 268435200
33554432 2826043392 10.53 268435328
67108864 2960392192 11.03 268435392
134217728 3094740992 11.53 268435424
