# BlockSize maxrss blowup maxlivedatasize
32 201326592 1.50 134217728
64 369098752 1.83 201326592
128 369098752 1.57 234881024
256 511705088 2.03 251658240
512 511705088 1.97 260046848
1024 511705088 1.94 264241152
2048 646840320 2.43 266338304
4096 781582336 2.92 267386880
8192 781582336 2.92 267911168
16384 915931136 3.42 268173312
32768 915931136 3.41 268304384
65536 1050148864 3.91 268369920
131072 1188560896 4.43 268402688
262144 1188560896 4.43 268419072
524288 1188560896 4.43 268427264
1048576 1188560896 4.43 268431360
2097152 1188560896 4.43 268433408
4194304 1188560896 4.43 268434432
8388608 1188560896 4.43 268434944
16777216 1188560896 4.43 268435200
33554432 1188560896 4.43 268435328
67108864 1188560896 4.43 268435392
134217728 1188560896 4.43 268435424
